question,rewritten,expected_source,predicted_sources,generated_sources,is_correct,answer
How was the man’s dress described in terms of English taste?,"Here is the rewritten standalone question:

What does the description of the man's dress reveal about its adherence to or departure from traditional English fashion?",A SCANDAL IN BOHEMIA.txt#chunk=32,"['A SCANDAL IN BOHEMIA.txt#chunk=32', 'A SCANDAL IN BOHEMIA.txt#chunk=80', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=94', 'A SCANDAL IN BOHEMIA.txt#chunk=23', 'A SCANDAL IN BOHEMIA.txt#chunk=15', 'A SCANDAL IN BOHEMIA.txt#chunk=125', 'A SCANDAL IN BOHEMIA.txt#chunk=33']",[],True,"The description of the man's dress reveals that it departs from traditional English fashion, as it is described as ""rich with a richness which would, in England, be looked upon as akin to bad taste."" This suggests that the man's attire is extravagant and flashy, which was not considered tasteful in England."
What detail stood out about the man’s cloak?,What was notable or distinctive about the man's cloak?,A SCANDAL IN BOHEMIA.txt#chunk=32,"['A SCANDAL IN BOHEMIA.txt#chunk=32', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=10', 'A SCANDAL IN BOHEMIA.txt#chunk=12', 'A SCANDAL IN BOHEMIA.txt#chunk=125', 'A SCANDAL IN BOHEMIA.txt#chunk=33', 'A SCANDAL IN BOHEMIA.txt#chunk=58', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['The King Victor 1.txt#chunk=2'],True,[The King Victor 1.txt#chunk=2] The deep blue cloak was lined with flame-coloured silk.
What was notable about the brooch the man wore at his neck?,What details can you provide about the brooch the man wore at his neck?,A SCANDAL IN BOHEMIA.txt#chunk=32,"['A SCANDAL IN BOHEMIA.txt#chunk=32', 'A SCANDAL IN BOHEMIA.txt#chunk=68', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=34', 'A SCANDAL IN BOHEMIA.txt#chunk=33', 'A SCANDAL IN BOHEMIA.txt#chunk=21', 'A SCANDAL IN BOHEMIA.txt#chunk=58', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,The brooch consisted of a single flaming beryl and was used to secure the deep blue cloak that was thrown over the man's shoulders. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]
What condition did the Count set before disclosing information?,What condition must be met before the Count discloses information?,A SCANDAL IN BOHEMIA.txt#chunk=37,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=95', 'A SCANDAL IN BOHEMIA.txt#chunk=36', 'A SCANDAL IN BOHEMIA.txt#chunk=128', 'A SCANDAL IN BOHEMIA.txt#chunk=85', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=96', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],True,The Count requires that Holmes and Watson agree to absolute secrecy for two years before he begins to disclose information.
How long did the Count require secrecy from Holmes and Watson?,"Here is the rewritten standalone question:

What was the duration of the Count's request for secrecy from Holmes and Watson?",A SCANDAL IN BOHEMIA.txt#chunk=37,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=35', 'A SCANDAL IN BOHEMIA.txt#chunk=54', 'A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=107', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=51', 'A SCANDAL IN BOHEMIA.txt#chunk=121']",['The Adventure of Irene Adler 5.txt#chunk=3'],True,Two years. [The Adventure of Irene Adler 5.txt#chunk=3]
Why did the Count say the matter would not be important after two years?,What led the Count to believe that the matter's significance would diminish over time?,A SCANDAL IN BOHEMIA.txt#chunk=37,"['A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=36', 'A SCANDAL IN BOHEMIA.txt#chunk=94', 'A SCANDAL IN BOHEMIA.txt#chunk=52', 'A SCANDAL IN BOHEMIA.txt#chunk=49', 'A SCANDAL IN BOHEMIA.txt#chunk=110', 'A SCANDAL IN BOHEMIA.txt#chunk=4', 'A SCANDAL IN BOHEMIA.txt#chunk=37']",[],True,"The Count stated that ""at the end of that time the matter will be of no importance."" This implies that he believes the matter's significance will decrease or become less relevant over time."
What potential impact did the Count claim the issue might have?,What specific consequences or effects did the Count mention as possible outcomes of the issue?,A SCANDAL IN BOHEMIA.txt#chunk=37,"['A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=36', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=52', 'A SCANDAL IN BOHEMIA.txt#chunk=99', 'A SCANDAL IN BOHEMIA.txt#chunk=4', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=2']",[],True,"The Count mentioned that the matter ""may have an influence upon European history."""
Who first agreed to the Count's request for secrecy?,Who was the first person to agree to keep the Count's request for secrecy?,A SCANDAL IN BOHEMIA.txt#chunk=37,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=78', 'A SCANDAL IN BOHEMIA.txt#chunk=36', 'A SCANDAL IN BOHEMIA.txt#chunk=49', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=67', 'A SCANDAL IN BOHEMIA.txt#chunk=52', 'A SCANDAL IN BOHEMIA.txt#chunk=37']",['The Adventure of the Red-Headed League 1.txt#chunk=3'],True,Holmes. [The Adventure of the Red-Headed League 1.txt#chunk=3]
Why is Holmes certain that the letter has not yet been sent?,What time was the letter posted?,A SCANDAL IN BOHEMIA.txt#chunk=51,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=19', 'A SCANDAL IN BOHEMIA.txt#chunk=23', 'A SCANDAL IN BOHEMIA.txt#chunk=99', 'A SCANDAL IN BOHEMIA.txt#chunk=20', 'A SCANDAL IN BOHEMIA.txt#chunk=55', 'A SCANDAL IN BOHEMIA.txt#chunk=123', 'A SCANDAL IN BOHEMIA.txt#chunk=117']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],False,"I don't know. The note mentioned that it was dated at midnight of the preceding night, but it didn't mention when it was posted. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]"
When did the woman say she would send the letter?,When is the woman planning to send the letter?,A SCANDAL IN BOHEMIA.txt#chunk=51,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=97', 'A SCANDAL IN BOHEMIA.txt#chunk=51', 'A SCANDAL IN BOHEMIA.txt#chunk=96', 'A SCANDAL IN BOHEMIA.txt#chunk=123', 'A SCANDAL IN BOHEMIA.txt#chunk=119', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=50']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,"According to the context, Irene Adler plans to send the photograph on the day when the betrothal is publicly proclaimed, which will be next Monday. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]"
What significant event is scheduled for next Monday?,What events or appointments are scheduled for next Monday?,A SCANDAL IN BOHEMIA.txt#chunk=51,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=1', 'A SCANDAL IN BOHEMIA.txt#chunk=71', 'A SCANDAL IN BOHEMIA.txt#chunk=115', 'A SCANDAL IN BOHEMIA.txt#chunk=51', 'A SCANDAL IN BOHEMIA.txt#chunk=119', 'A SCANDAL IN BOHEMIA.txt#chunk=21', 'A SCANDAL IN BOHEMIA.txt#chunk=84']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,"According to [A SCANDAL IN BOHEMIA 5.txt#chunk=3], the betrothal is publicly proclaimed on next Monday, and she (presumably the lady in question) has said that she would send something on that day."
How does Holmes react upon learning they have three more days?,How does Sherlock Holmes's demeanor change after discovering he has an additional 72 hours to solve the case?,A SCANDAL IN BOHEMIA.txt#chunk=51,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=42', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=121']",[],False,"There is no information in the provided context about Sherlock Holmes's demeanor changing after discovering he has an additional 72 hours to solve the case, as there is no mention of him receiving such news."
What does Holmes ask about the King's plans during the waiting period?,What does Holmes ask about the King's plans during the waiting period?,A SCANDAL IN BOHEMIA.txt#chunk=51,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=35', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=131', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=118', 'A SCANDAL IN BOHEMIA.txt#chunk=48']",[],False,"""I have hopes."""
How often does Mr. Godfrey Norton visit?,How often does Mr. Godfrey Norton visit?,A SCANDAL IN BOHEMIA.txt#chunk=66,"['A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=67', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=66', 'A SCANDAL IN BOHEMIA.txt#chunk=65', 'A SCANDAL IN BOHEMIA.txt#chunk=18', 'A SCANDAL IN BOHEMIA.txt#chunk=33', 'A SCANDAL IN BOHEMIA.txt#chunk=119']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,"According to [A SCANDAL IN BOHEMIA 5.txt#chunk=3], Mr. Godfrey Norton visits ""never calls less than once a day, and often twice."""
What is Mr. Godfrey Norton's profession and affiliation?,What is Mr. Godfrey Norton's occupation?,A SCANDAL IN BOHEMIA.txt#chunk=66,"['A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=67', 'A SCANDAL IN BOHEMIA.txt#chunk=66', 'A SCANDAL IN BOHEMIA.txt#chunk=7', 'A SCANDAL IN BOHEMIA.txt#chunk=65', 'A SCANDAL IN BOHEMIA.txt#chunk=93', 'A SCANDAL IN BOHEMIA.txt#chunk=119', 'A SCANDAL IN BOHEMIA.txt#chunk=118']",['A STUDY IN SCARLET 5.txt#chunk=3'],True,"Mr. Godfrey Norton is a lawyer, specifically an English lawyer from the Inner Temple. [A STUDY IN SCARLET 5.txt#chunk=3]"
How did cabmen become useful informants in the case?,"Here is the rewritten question:

What role did cabmen play as informants in the investigation?",A SCANDAL IN BOHEMIA.txt#chunk=66,"['A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=56', 'A SCANDAL IN BOHEMIA.txt#chunk=69', 'A SCANDAL IN BOHEMIA.txt#chunk=67', 'A SCANDAL IN BOHEMIA.txt#chunk=7', 'A SCANDAL IN BOHEMIA.txt#chunk=66', 'A SCANDAL IN BOHEMIA.txt#chunk=100', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['The Adventures of Sherlock Holmes 5.txt#chunk=1'],True,"[The Adventures of Sherlock Holmes 5.txt#chunk=1]

Cabmen played a significant role as informants in the investigation. They had driven Mr. Godfrey Norton home from Serpentine-mews ""a dozen times"" and knew all about him, providing valuable information to the narrator."
Where had the cabmen frequently driven Mr. Norton from?,What were the typical destinations for Mr. Norton when he was driven by cabmen?,A SCANDAL IN BOHEMIA.txt#chunk=66,"['A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=70', 'A SCANDAL IN BOHEMIA.txt#chunk=104', 'A SCANDAL IN BOHEMIA.txt#chunk=67', 'A SCANDAL IN BOHEMIA.txt#chunk=66', 'A SCANDAL IN BOHEMIA.txt#chunk=65', 'A SCANDAL IN BOHEMIA.txt#chunk=33', 'A SCANDAL IN BOHEMIA.txt#chunk=118']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,"According to [A SCANDAL IN BOHEMIA 5.txt#chunk=3], Mr. Godfrey Norton's typical destinations when driven by cabmen were Serpentine-mews and Briony Lodge, but specifically mentioned is that the cab would first go to Gross & Hankey's in Regent Street, and then to the Church of St. Monica in the Edgeware Road, as instructed by Mr. Norton himself."
What did the narrator do after gathering information from the cabmen?,What does the narrator do with the information gathered from the cabmen?,A SCANDAL IN BOHEMIA.txt#chunk=66,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=75', 'A SCANDAL IN BOHEMIA.txt#chunk=120', 'A SCANDAL IN BOHEMIA.txt#chunk=66', 'A SCANDAL IN BOHEMIA.txt#chunk=99', 'A SCANDAL IN BOHEMIA.txt#chunk=119', 'A SCANDAL IN BOHEMIA.txt#chunk=84', 'A SCANDAL IN BOHEMIA.txt#chunk=69']",[],True,"The narrator begins to walk up and down near Briony Lodge once more, and thinks over his plan of campaign after listening to all the information gathered from the cabmen."
Where did the woman instruct the cab to go before the Church of St. Monica?,What was the location where the woman instructed the cab to head to immediately prior to arriving at the Church of St. Monica?,A SCANDAL IN BOHEMIA.txt#chunk=71,"['A SCANDAL IN BOHEMIA.txt#chunk=75', 'A SCANDAL IN BOHEMIA.txt#chunk=73', 'A SCANDAL IN BOHEMIA.txt#chunk=71', 'A SCANDAL IN BOHEMIA.txt#chunk=74', 'A SCANDAL IN BOHEMIA.txt#chunk=70', 'A SCANDAL IN BOHEMIA.txt#chunk=82', 'A SCANDAL IN BOHEMIA.txt#chunk=84', 'A SCANDAL IN BOHEMIA.txt#chunk=100']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,Gross & Hankey's in Regent Street. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]
What was the final destination given to the cabman?,What was the address or location where the passenger wanted to be dropped off?,A SCANDAL IN BOHEMIA.txt#chunk=71,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=35', 'A SCANDAL IN BOHEMIA.txt#chunk=74', 'A SCANDAL IN BOHEMIA.txt#chunk=70', 'A SCANDAL IN BOHEMIA.txt#chunk=91', 'A SCANDAL IN BOHEMIA.txt#chunk=67', 'A SCANDAL IN BOHEMIA.txt#chunk=124', 'A SCANDAL IN BOHEMIA.txt#chunk=69']",[],False,The Church of St. Monica in the Edgeware Road [Godfrey Norton#chunk=2].
